 339    0   16    1  999  999   15   15   20    1
 340    1   23    1    0   16   13    0   30    0
 341    1   23    3    0   19  999    0   30    0
 342    1   18    3    0   18   15    4   30    1
 343    1   17    1  999   16   12  999    0  999
 344    0   46    1    1  999   18    4    0    1
 345    0   50    1    1  999   17    0    0    0
 346    0   30    3    1  999   19    0    0    0
 347    0   19    3    0   17   18    0    4    0
 348    1   17    3  999  999  999    0    0    0
 349    1   16    3  999  999  999    0    0    0
 350    0   72    3    0  999  999    0    0    0
 351    1   12    3  999  999  999    0  999    0
 352    0   17    1  999  999  999  999  999  999
 353    1   66    1    1   15   15    0    0    0
 354    0   14    3  999  999  999    0    0    0
 355    1   20    3    0   15   15   25  999    1
 356    1   33    3    1  999   18    0    0    0
 357    1   18    3    0  999  999    0  999    0
 358    1   19    3    0  999  999    0  999    0
 359    0   19    1    1  999   19  999   30  999
 360    1   17    3  999  999   11    0    0    0
 361    0   14    3  999  999  999    0    0    0
 362    0   24    3    0  999   17    3  999    0
 363    0   33    3    1   25   18    0   28    0
 364    0   19    3    0  999  999    0    0    0
 365    1   26    1    0   20   16   10   30    1
 366    1   24    3    0   24   14    7   30    1
 367    0   34    3    0  999  999    0    0    0
 368    1   61    3    0  999  999    0    0    0
 369    0   23    3    0  999   20    2    0    0
 370    0   25    3    1  999   21    0    0    0
 371    1   22    3    0   20   13    1  999    0
 372    0   15    3  999  999  999    0    0    0
 373    0   26    3    0  999  999    0    0    0
 374    0   28    3    1  999   18    2    0    0
 375    0   23    3    0  999   10    5    5    1
 376    0   15    3  999  999  999    0    0    0
 377    0   77    3    0   17  999  999  999  999
 378    1   24    3    1  999   19    0    0    0
 379    1   19    3    0  999  999    0  999    0
 380    1   38    3    0   18   17   10    7    1
 381    0   21    1    1   20   17    9  999    1
 382    0   13    3  999  999  999    0    0    0
 383    1   12    1  999  999  999    0    0    0
 384    1   34    3    0  999   19   20    0    1
 385    1   35    2    1   17   14    2    0    0
 386    1   47    1    1   19   16    0    1    0
 387    0   32    1    1  999  999    0    0    0
 388    0   20    3    0  999  999    0    0    0
 389    1   12    3  999  999  999    0    0    0
 390    1   21    3    1   13   16    5   30    1
 391    1   13    3  999  999  999    0    0    0
 392    1   16    3  999  999   13    2    0    0
 393    0   16    3  999   16   15    3   29    0
 394    1   22    3    1  999   19    1    0    0
 395    1   17    1  999   13   13    0    0    0
 396    0   68    1    1   15  999    0    0    0
 397    0   39    1    0   12   20    0    0    0
